horseNumber;horseName;horseSex;horseAge;driver;betDistribution;earnings;winPercent;recordSuffix;recordDecimal;earningsPerStart;shoeInfo;cartInfo;lifeStats-tot;lifeStats-1;lifeStats-2;lifeStats-3;vOdds;pOdds;Tränare;Plats%;Snittodds;Poäng;Hemmabana;raceIdx;result;won;pValue;plats
4;151;2;5;62;0.0538;424600;0.27;17;2;16330;2;1;26;7;2;3;14.05;4.53;112;0.46;5.30;1640;20;6;99;0;0.0;0
5;152;2;5;47;0.0806;378400;0.24;12;3;15136;2;1;25;6;3;4;10.84;2.77;88;0.52;8.77;2025;11;6;d;0;0.0;0
6;153;2;6;51;0.0039000000000000003;382600;0.18;72;2;11252;2;1;34;6;1;3;75.27;15.98;113;0.29;59.48;869;21;6;7;0;0.0;0
7;154;2;5;8;0.0072;382500;0.03;33;3;12750;2;0;30;1;4;7;57.46;12.36;106;0.4;7.86;1320;5;6;d;0;0.0;0
8;155;2;6;73;0.0038;307200;0.06;10;4;5907;2;1;52;3;5;6;66.58;16.45;114;0.27;24.54;755;13;6;2;0;0.0;1
9;156;2;6;4;0.0045000000000000005;460800;0.03;43;2;15360;2;1;30;1;5;8;64.70;11.93;115;0.47;60.19;907;13;6;3;0;0.0;1
10;157;2;8;74;0.07919999999999999;687784;0.11;0;0;18588;2;1;37;4;9;5;11.23;3.11;116;0.49;10.63;905;6;6;5;0;0.0;0
11;158;2;8;75;0.0087;709900;0.16;41;0;14487;2;1;49;8;7;3;50.50;11.60;117;0.37;25.07;969;13;6;8;0;0.0;0
12;159;2;6;3;0.1605;969600;0.19;37;0;23085;2;1;42;8;7;3;5.57;2.14;118;0.43;16.00;2635;4;6;4;0;0.0;0
13;160;2;6;66;0.1795;853800;0.21;67;0;20328;2;1;42;9;6;5;6.03;2.29;99;0.48;14.92;2900;15;6;utg;0;0.0;0
14;161;2;8;64;0.0239;527778;0.1;19;2;6066;2;1;87;9;12;12;32.17;7.06;119;0.38;61.63;930;10;6;6;0;0.0;0
0;162;0;6;8;0.0194;637400;0.16;38;11;14823;2;0;43;7;11;4;27.15;4.45;106;0.51;8.32;2210;5;7;2;0;0.0;1
1;163;0;8;76;0.18289999999999998;874800;0.16;23;7;10055;2;1;87;14;9;9;5.02;1.95;120;0.37;8.81;2350;15;7;3;0;0.0;1
2;164;0;8;65;0.0128;551800;0.37;70;11;18393;2;0;30;11;5;1;30.09;5.45;121;0.57;4.04;2185;16;7;7;0;0.0;0
3;165;0;6;5;0.0059;650500;0.3;41;13;16262;1;1;40;12;4;1;99.9;99.9;88;0.43;3.19;1080;11;7;s;0;0.0;0
4;166;0;6;62;0.3726;560224;0.41;41;13;17507;2;0;32;13;6;2;2.88;1.53;13;0.66;6.76;3134;9;7;1;1;2.88;1
5;167;0;6;77;0.038;605500;0.33;68;7;25229;2;0;24;8;6;3;16.05;3.60;122;0.71;13.92;3405;11;7;99;0;0.0;0
6;168;0;6;36;0.1535;815900;0.24;50;7;28134;2;0;29;7;3;4;5.32;2.04;103;0.48;8.34;2110;12;7;99;0;0.0;0
7;169;0;7;6;0.0601;750211;0.4;47;7;13640;2;0;55;22;11;6;10.87;3.07;123;0.71;5.96;1355;4;7;99;0;0.0;0
8;170;0;8;58;0.005699999999999999;646000;0.12;37;13;10766;2;1;60;7;10;9;53.52;8.28;84;0.43;24.07;1035;5;7;5;0;0.0;0
9;171;0;7;3;0.011899999999999999;638500;0.16;7;12;14848;2;1;43;7;8;4;20.17;4.81;84;0.44;15.57;1630;5;7;8;0;0.0;0
10;172;0;6;64;0.11789999999999999;841150;0.37;2;11;19561;2;1;43;16;4;3;8.43;2.58;108;0.53;7.19;3489;12;7;4;0;0.0;0
11;79;0;5;4;0.0194;686800;0.23;47;7;19622;2;1;35;8;7;5;31.11;6.45;60;0.57;4.13;3055;4;7;6;0;0.0;0
0;173;0;9;18;0.0131;827100;0.19;36;2;14018;2;1;59;11;6;4;48.03;9.35;124;0.36;34.13;929;14;1;5;0;0.0;0
1;174;0;7;78;0.1038;769500;0.19;3;0;14518;2;1;53;10;6;7;11.35;3.54;17;0.43;5.70;2217;3;1;1;1;11.35;1
2;77;0;5;2;0.08900000000000001;719500;0.3;0;0;31282;2;1;23;7;3;1;12.67;3.34;45;0.48;7.73;2285;7;1;6;0;0.0;0
3;175;1;8;14;0.0167;873000;0.17;31;1;11640;2;1;75;13;8;11;35.13;6.91;125;0.43;17.72;919;7;1;99;0;0.0;0
4;84;0;5;46;0.1278;743900;0.18;52;3;21879;2;1;34;6;6;2;7.48;2.66;62;0.41;9.14;3695;3;1;99;0;0.0;0
5;176;1;5;32;0.1285;678500;0.32;0;0;27140;2;1;25;8;1;7;9.63;2.84;45;0.64;6.50;1210;7;1;99;0;0.0;0
